app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,3.33,2587.44735594,0,0,0,0,36.437689542770386
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,10,230.68673,0,0,0,0,25.34284734725952
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,5,178.257925,0,0,0,0,25.13180899620056
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,3.33,146.65384269,0,0,0,0,24.85535430908203
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,10,293.60129,0,0,0,0,24.830808639526367
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,5,251.658245,0,0,0,0,27.426374912261963
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,3.33,223.47252045000002,0,0,0,0,25.463496446609497
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,10,865.79546,0,0,0,0,34.71786570549011
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,5,746.09777,0,0,0,0,37.98910140991211
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,3.33,655.1434341,0,0,0,0,37.981502056121826
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,10,1319.39546,2,1,0,1,34.921329736709595
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,5,1134.89885,2,1,0,1,37.98915195465088
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,1036.5110181,2,1,1,2,34.84738302230835
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,10,0.00025,1,0,0,0,42.504658222198486
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,5,0.000125,1,0,0,0,43.54647088050842
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,3.33,8.325e-05,1,0,0,0,43.47046136856079
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,10,0.00025,11,0,0,2,40.98658776283264
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,5,0.000125,11,0,0,2,42.370474338531494
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,3.33,8.325e-05,11,0,0,2,42.58178639411926
spcl_example_03,xcu200-fsgd2104-2-e,10,99.88993,0,0,0,0,22.70822024345398
spcl_example_03,xcu200-fsgd2104-2-e,5,79.884965,0,0,0,0,26.093672037124634
spcl_example_03,xcu200-fsgd2104-2-e,3.33,69.82674669,0,0,0,0,25.968173503875732
spcl_example_03,xczu7ev-ffvc1156-2-e,10,139.80993,0,0,0,0,27.264317750930786
spcl_example_03,xczu7ev-ffvc1156-2-e,5,119.804965,0,0,0,0,27.207205295562744
spcl_example_03,xczu7ev-ffvc1156-2-e,3.33,106.38348669,0,0,0,0,28.855098009109497
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,10,6.24645,0,0,0,0,26.51166820526123
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,5,5.207085,0,0,0,0,26.570764303207397
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,3.33,4.84553295,0,0,0,0,26.362958192825317
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,10,8.33543,0,0,0,0,27.162970542907715
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,5,8.314945,0,0,0,0,27.037598609924316
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,7.61782122,0,0,0,0,26.70278239250183
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,10,7168.00582,0,0,0,0,36.30233383178711
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,5,5683.20291,0,0,0,0,37.11053991317749
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,3.33,4990.7614161599995,0,0,0,0,36.96193814277649
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,10,9277.44582,41,0,0,0,37.913938760757446
